evaluation_set,statistic,chunker,noise_level,metric,estimate,ci_95_low,ci_95_high,bootstrap_iterations,seed
context_verified,degradation_difference_vs_fixed,recursive,mild,mrr_at_100,0.008444124832749367,-0.0028647348284721375,0.019963178038597103,5000,20260913
context_verified,degradation_difference_vs_fixed,recursive,moderate,hit_at_1,0.008338073268532753,-0.008338063955307007,0.025393188744783402,5000,20260913
context_verified,degradation_difference_vs_fixed,recursive,moderate,hit_at_5,0.015539130195975304,0.0018950104713439941,0.02994126230478287,5000,20260913
context_verified,degradation_difference_vs_fixed,recursive,moderate,mrr_at_100,0.010263003408908844,-0.001422274112701416,0.02250344157218931,5000,20260913
context_verified,degradation_difference_vs_fixed,recursive,severe,hit_at_1,0.00947507843375206,-0.007201075553894043,0.026151210069656372,5000,20260913
context_verified,degradation_difference_vs_fixed,recursive,severe,hit_at_5,0.011370096355676651,-0.0020892888307571396,0.02482473850250244,5000,20260913
context_verified,degradation_difference_vs_fixed,recursive,severe,mrr_at_100,0.011963289231061935,-8.610785007476803e-05,0.02381746619939802,5000,20260913
context_verified,degradation_difference_vs_fixed,semantic,mild,hit_at_1,-0.017623649910092354,-0.032599058002233505,-0.0018950089812278747,5000,20260913
context_verified,degradation_difference_vs_fixed,semantic,mild,hit_at_5,-0.01061209011822939,-0.02311915159225464,0.0015159845352172852,5000,20260913
context_verified,degradation_difference_vs_fixed,semantic,mild,mrr_at_100,-0.012504047714173794,-0.023352572321891786,-0.0015199452638626207,5000,20260913
context_verified,degradation_difference_vs_fixed,semantic,moderate,hit_at_1,-0.00473753921687603,-0.02084517627954483,0.012132909148931434,5000,20260913
context_verified,degradation_difference_vs_fixed,semantic,moderate,hit_at_5,-0.0026530232280492783,-0.01591813564300537,0.010991096496582031,5000,20260913
context_verified,degradation_difference_vs_fixed,semantic,moderate,mrr_at_100,-0.0039234645664691925,-0.015108098089694976,0.007406257092952726,5000,20260913
context_verified,degradation_difference_vs_fixed,semantic,severe,hit_at_1,-0.0003790035843849182,-0.016865670680999756,0.01553913950920105,5000,20260913
context_verified,degradation_difference_vs_fixed,semantic,severe,hit_at_5,0.0028425268828868866,-0.010801553726196289,0.01611241251230233,5000,20260913
context_verified,degradation_difference_vs_fixed,semantic,severe,mrr_at_100,0.000979732722043991,-0.010728590190410614,0.012129628658294658,5000,20260913
context_verified,degradation_difference_vs_fixed,structure,mild,hit_at_1,0.013454614207148552,-0.003032030165195465,0.030324993282556466,5000,20260913
context_verified,degradation_difference_vs_fixed,structure,mild,hit_at_5,0.013454614207148552,0.0001895412802696228,0.026530206203460693,5000,20260913
context_verified,degradation_difference_vs_fixed,structure,mild,mrr_at_100,0.010801456868648529,-0.001060853898525238,0.022542737424373606,5000,20260913
context_verified,degradation_difference_vs_fixed,structure,moderate,hit_at_1,0.014970628544688225,-0.0018998064100742324,0.03221529722213745,5000,20260913
context_verified,degradation_difference_vs_fixed,structure,moderate,hit_at_5,0.01876066066324711,0.0053012698888778706,0.03297322988510132,5000,20260913
context_verified,degradation_difference_vs_fixed,structure,moderate,mrr_at_100,0.013791371136903763,0.0017486974596977235,0.02581898123025894,5000,20260913
context_verified,degradation_difference_vs_fixed,structure,severe,hit_at_1,0.006253551691770554,-0.011370092630386353,0.023692485690116814,5000,20260913
context_verified,degradation_difference_vs_fixed,structure,severe,hit_at_5,0.009475082159042358,-0.004548072814941406,0.02368772029876709,5000,20260913
context_verified,degradation_difference_vs_fixed,structure,severe,mrr_at_100,0.00741756334900856,-0.004917208850383758,0.019593696296215057,5000,20260913
